2025-09-14 15:57:53,095 INFO    MainThread:1087556 [wandb_setup.py:_flush():81] Current SDK version is 0.21.4
2025-09-14 15:57:53,096 INFO    MainThread:1087556 [wandb_setup.py:_flush():81] Configure stats pid to 1087556
2025-09-14 15:57:53,096 INFO    MainThread:1087556 [wandb_setup.py:_flush():81] Loading settings from /home/v-wangrui5/.config/wandb/settings
2025-09-14 15:57:53,096 INFO    MainThread:1087556 [wandb_setup.py:_flush():81] Loading settings from /home/v-wangrui5/ziweizhou/audioldm2/wandb/settings
2025-09-14 15:57:53,096 INFO    MainThread:1087556 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-09-14 15:57:53,096 INFO    MainThread:1087556 [wandb_init.py:setup_run_log_directory():686] Logging user logs to ./outputs/wandb/run-20250914_155753-gd0slpgz/logs/debug.log
2025-09-14 15:57:53,096 INFO    MainThread:1087556 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to ./outputs/wandb/run-20250914_155753-gd0slpgz/logs/debug-internal.log
2025-09-14 15:57:53,096 INFO    MainThread:1087556 [wandb_init.py:init():813] calling init triggers
2025-09-14 15:57:53,096 INFO    MainThread:1087556 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-09-14 15:57:53,096 INFO    MainThread:1087556 [wandb_init.py:init():854] starting backend
2025-09-14 15:57:53,332 INFO    MainThread:1087556 [wandb_init.py:init():857] sending inform_init request
2025-09-14 15:57:53,370 INFO    MainThread:1087556 [wandb_init.py:init():865] backend started and connected
2025-09-14 15:57:53,375 INFO    MainThread:1087556 [wandb_init.py:init():936] updated telemetry
2025-09-14 15:57:53,412 INFO    MainThread:1087556 [wandb_init.py:init():960] communicating run to backend with 90.0 second timeout
2025-09-14 15:57:53,806 INFO    MainThread:1087556 [wandb_init.py:init():1011] starting run threads in backend
2025-09-14 15:57:53,931 INFO    MainThread:1087556 [wandb_run.py:_console_start():2506] atexit reg
2025-09-14 15:57:53,932 INFO    MainThread:1087556 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-09-14 15:57:53,932 INFO    MainThread:1087556 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-09-14 15:57:53,932 INFO    MainThread:1087556 [wandb_run.py:_redirect():2446] Redirects installed.
2025-09-14 15:57:53,934 INFO    MainThread:1087556 [wandb_init.py:init():1049] run started, returning control to user process
2025-09-14 15:57:53,980 INFO    wandb-AsyncioManager-main:1087556 [service_client.py:_forward_responses():84] Reached EOF.
2025-09-14 15:57:53,980 INFO    wandb-AsyncioManager-main:1087556 [mailbox.py:close():137] Closing mailbox, abandoning 2 handles.
